Date,Actual,Forecasted
11/06/2018 0:00,107.7200012,107.5839676
11/07/2018 0:00,111.9599991,107.5804773
11/08/2018 0:00,111.75,107.6608415
11/09/2018 0:00,109.5699997,107.7456495
11/12/2018 0:00,106.8700027,107.2446072
11/13/2018 0:00,106.9400024,107.3560333
11/14/2018 0:00,104.9700012,107.3209003
11/15/2018 0:00,107.2799988,107.3774193
11/16/2018 0:00,108.2900009,107.4471082
11/19/2018 0:00,104.6200027,106.956208
11/20/2018 0:00,101.7099991,107.0861144
11/21/2018 0:00,103.1100006,107.0758012
11/23/2018 0:00,103.0699997,107.2620076
11/26/2018 0:00,106.4700012,106.8564185
11/27/2018 0:00,107.1399994,107.0035992
11/28/2018 0:00,111.1200027,107.0015185
11/29/2018 0:00,110.1900024,107.0838893
11/30/2018 0:00,110.8899994,107.1687638
12/03/2018 0:00,112.0899963,106.6273175
12/04/2018 0:00,108.5199966,106.6974875
12/06/2018 0:00,109.1900024,106.579518
12/07/2018 0:00,104.8199997,106.5451908
12/10/2018 0:00,107.5899963,105.5989099
12/11/2018 0:00,108.5899963,105.5237095
12/12/2018 0:00,109.0800018,105.2872091
12/13/2018 0:00,109.4499969,105.1242989
12/14/2018 0:00,106.0299988,104.9591162
12/17/2018 0:00,102.8899994,103.715557
12/18/2018 0:00,103.9700012,103.5741401
12/19/2018 0:00,103.6900024,103.2967219
12/20/2018 0:00,101.5100021,103.1155746
12/21/2018 0:00,98.23000336,102.9574445
12/24/2018 0:00,94.12999725,101.9033709
12/26/2018 0:00,100.5599976,101.7250143
12/27/2018 0:00,101.1800003,101.7196736
12/28/2018 0:00,100.3899994,101.755055
12/31/2018 0:00,101.5699997,101.3615902
01/02/2019 0:00,101.1200027,101.6469694
01/03/2019 0:00,97.40000153,101.846831
01/04/2019 0:00,101.9300003,102.081047
01/07/2019 0:00,102.0599976,102.2071169
01/08/2019 0:00,102.8000031,102.5460003
01/09/2019 0:00,104.2699966,102.7531538
01/10/2019 0:00,103.5999985,103.051329
01/11/2019 0:00,102.8000031,103.3609293
01/14/2019 0:00,102.0500031,103.5627074
01/15/2019 0:00,105.0100021,103.8850861
01/16/2019 0:00,105.3799973,104.0534239
01/17/2019 0:00,106.1200027,104.2953237
01/18/2019 0:00,107.7099991,104.5324368
01/22/2019 0:00,105.6800003,104.6515378
01/23/2019 0:00,106.7099991,104.7064464
01/24/2019 0:00,106.1999969,105.0156382
01/25/2019 0:00,107.1699982,105.323229
01/28/2019 0:00,105.0800018,105.4705482
01/29/2019 0:00,102.9400024,105.7812248
01/30/2019 0:00,106.3799973,105.9412957
01/31/2019 0:00,104.4300003,106.1848316
02/01/2019 0:00,102.7799988,106.4336397
02/04/2019 0:00,105.7399979,106.4251302
02/05/2019 0:00,107.2200012,106.6893863
02/06/2019 0:00,106.0299988,106.7993758
02/07/2019 0:00,105.2699966,106.9886554
02/08/2019 0:00,105.6699982,107.1758102
02/11/2019 0:00,105.25,106.910311
02/12/2019 0:00,106.8899994,107.0611744
02/13/2019 0:00,106.8099976,107.0400232
02/14/2019 0:00,106.9000015,107.0803294
02/15/2019 0:00,108.2200012,107.1000002
02/19/2019 0:00,108.1699982,109.1398695
02/20/2019 0:00,107.1500015,109.6267937
02/21/2019 0:00,109.4100037,110.1688909
02/22/2019 0:00,110.9700012,110.6850233
02/25/2019 0:00,111.5899963,111.2645949
